Steel,C,Si,Mn,Cr,Mo,Ni,Al,Cu,ppmB,Pa,Rc,lnRc,Texp
CM60,0.37,0.47,1.01,0,0,1.57,0,0,0,1050.63,0.128,-2.055725015,697
CM60,0.37,0.47,1.01,0,0,1.57,0,0,0,1050.63,0.007,-4.96184513,706
CM61,0.37,0.48,1.01,0,0.4,1.57,0,0,0,1050.63,0.135,-2.002480501,672
CM61,0.37,0.48,1.01,0,0.4,1.57,0,0,0,1050.63,0.029,-3.540459449,682
CM61,0.37,0.48,1.01,0,0.4,1.57,0,0,0,1050.63,0.007,-4.96184513,685
CM62,0.37,0.47,1,0,0.78,1.52,0,0,0,1045.83,0.149,-1.903808973,672
CM62,0.37,0.47,1,0,0.78,1.52,0,0,0,1045.83,0.032,-3.442019376,693
CM62,0.37,0.47,1,0,0.78,1.52,0,0,0,1045.83,0.008,-4.828313737,698
CM63,0.36,0.46,0.97,0,0.44,1.54,0,0,0,1069.8,0.031,-3.473768074,683
CM63,0.36,0.46,0.97,0,0.45,1.54,0,0,0,1069.8,0.008,-4.828313737,700
CM64,0.37,0.5,0.99,0.88,0,0,0,0,0,1069.8,3.02,1.105256831,719
CM64,0.37,0.5,0.99,0.88,0,0,0,0,0,1069.8,0.159,-1.838851077,732
CM64,0.37,0.5,0.99,0.88,0,0,0,0,0,1069.8,0.009,-4.710530702,738
CM65,0.37,0.52,1,0.87,0.42,0,0,0,0,1060.21,0.382,-0.96233467,706
CM65,0.37,0.52,1,0.87,0.42,0,0,0,0,1060.21,0.143,-1.944910649,721
CM65,0.37,0.52,1,0.87,0.42,0,0,0,0,1060.21,0.031,-3.473768074,734
CM65,0.37,0.52,0.99,0.87,0.42,0,0,0,0,1060.21,0.008,-4.828313737,735
CM66,0.37,0.5,0.98,0.89,0.95,0,0,0,0,1055.42,0.361,-1.018877321,706
CM66,0.37,0.5,0.98,0.89,0.95,0,0,0,0,1055.42,0.119,-2.128631786,732
CM66,0.37,0.5,0.98,0.89,0.8,0,0,0,0,1055.42,0.029,-3.540459449,738
CM66,0.37,0.5,0.98,0.89,0.42,0,0,0,0,1055.42,0.008,-4.828313737,741
CM67,0.37,0.51,0.95,0.88,1.26,0,0,0,0,1045.83,0.354,-1.038458366,685
CM67,0.37,0.51,0.95,0.88,1.26,0,0,0,0,1045.83,0.141,-1.958995389,705
CM67,0.37,0.51,0.95,0.88,1.26,0,0,0,0,1045.83,0.03,-3.506557897,715
CM67,0.37,0.51,0.95,0.88,1.26,0,0,0,0,1045.83,0.008,-4.828313737,720
CM68,0.38,0.55,1.87,0.92,0,0,0,0,0,1074.59,1,0,700
CM68,0.38,0.55,1.87,0.92,0,0,0,0,0,1074.59,0.14,-1.966112856,705
CM68,0.38,0.55,1.87,0.92,0,0,0,0,0,1074.59,0.007,-4.96184513,710
CM69,0.37,0.56,1.86,0.92,0.41,0,0,0,0,1084.16,0.151,-1.890475442,674
CM69,0.37,0.56,1.86,0.92,0.41,0,0,0,0,1084.16,0.032,-3.442019376,692
CM69,0.37,0.56,1.86,0.92,0.41,0,0,0,0,1084.16,0.008,-4.828313737,700
CM70,0.36,0.56,1.83,0.9,0.81,0,0,0,0,1074.59,0.136,-1.995100393,669
CM70,0.36,0.56,1.83,0.9,0.81,0,0,0,0,1074.59,0.028,-3.575550769,714
CM70,0.36,0.56,1.83,0.9,0.41,0,0,0,0,1074.59,0.007,-4.96184513,721
CM71,0.36,0.57,1.82,0.89,0.41,0,0,0,0,1079.37,0.031,-3.473768074,685
CM71,0.36,0.57,1.82,0.89,0.41,0,0,0,0,1079.37,0.007,-4.96184513,702
CM72,0.1,0.26,0.51,0,0.45,0,0,0,0,1148.34,3.433,1.233434514,783
CM72,0.1,0.26,0.5,0,0.45,0,0,0,0,1148.34,0.153,-1.877317358,812
CM72,0.1,0.26,0.49,0,0.45,0,0,0,0,1148.34,0.008,-4.828313737,823
CM97,0.09,0.26,0.52,0,0.23,0,0,0,0,1153.01,12.5,2.525728644,787
CM97,0.09,0.26,0.51,0,0.23,0,0,0,0,1153.01,0.567,-0.567395975,816
CM99,0.1,0.26,0.51,0,0.45,0,0,0,0,1176.35,4.213,1.438174983,783
CM99,0.1,0.26,0.5,0,0.45,0,0,0,0,1176.35,0.198,-1.619488248,812
CM99,0.1,0.26,0.49,0,0.45,0,0,0,0,1176.35,0.011,-4.509860006,823
MR01,0.15,0.13,0.34,0.26,0.35,0.13,0,0.19,0,1101.74,1.2,0.182321557,775
MR01,0.15,0.13,0.33,0.26,0.35,0.13,0,0.19,0,1101.74,0.15,-1.897119985,790
MR01,0.15,0.13,0.33,0.26,0.35,0.13,0,0.19,0,1101.74,0.044,-3.123565645,805
MR02,0.17,0.28,0.57,1.27,0.27,0.09,0,0,0,1139.53,1.25,0.223143551,730
MR02,0.17,0.28,0.56,1.27,0.27,0.09,0,0,0,1139.53,0.15,-1.897119985,745
MR02,0.17,0.28,0.56,1.27,0.27,0.09,0,0,0,1139.53,0.04,-3.218875825,755
MR03,0.17,0.35,1.06,0,0.05,0.17,0,0.26,0,1120.64,1.2,0.182321557,745
MR03,0.17,0.35,1.06,0,0.05,0.17,0,0.26,0,1120.64,0.13,-2.040220829,765
MR03,0.17,0.35,1.06,0,0.05,0.17,0,0.26,0,1120.64,0.049,-3.015934981,775
MR04,0.17,0.24,0.38,1.49,0.07,3.7,0,0.33,0,1101.74,0.15,-1.897119985,660
MR04,0.17,0.24,0.38,1.49,0.07,3.7,0,0.33,0,1101.74,0.07,-2.659260037,670
MR04,0.17,0.24,0.38,1.49,0.07,3.7,0,0.33,0,1101.74,0.04,-3.218875825,675
MR05,0.22,0.25,0.81,0.45,0.25,0.86,0.04,0.32,0,1120.64,4.5,1.504077397,705
MR05,0.22,0.25,0.81,0.45,0.25,0.86,0.04,0.32,0,1120.64,1.2,0.182321557,720
MR05,0.22,0.25,0.81,0.45,0.25,0.86,0.04,0.32,0,1120.64,0.15,-1.897119985,740
MR05,0.22,0.25,0.8,0.45,0.25,0.86,0.04,0.32,0,1120.64,0.04,-3.218875825,760
MR06,0.21,0.21,1.47,0.61,0.69,1.1,0.03,0.27,0,1120.64,0.15,-1.897119985,705
MR06,0.21,0.21,1.47,0.61,0.69,1.1,0.03,0.27,0,1120.64,0.092,-2.385966702,712
MR06,0.21,0.21,1.47,0.61,0.69,1.1,0.03,0.27,0,1120.64,0.046,-3.079113882,720
MR07,0.27,0.86,1.65,0.12,0,0,0,0,0,1186.66,1.6,0.470003629,715
MR07,0.27,0.86,1.64,0.12,0,0,0,0,0,1186.66,0.125,-2.079441542,745
MR07,0.27,0.86,1.64,0.12,0,0,0,0,0,1186.66,0.017,-4.074541935,760
MR08,0.35,0.6,2.2,0.26,0.07,0.14,0,0.3,0,1082.82,2.3,0.832909123,675
MR08,0.35,0.6,2.2,0.26,0.07,0.14,0,0.3,0,1082.82,1,0,685
MR08,0.35,0.6,2.2,0.26,0.07,0.14,0,0.3,0,1082.82,0.16,-1.832581464,690
MR09,0.36,0.44,0.46,0.66,0.05,0.17,0,0.23,0,1101.74,2.2,0.78845736,705
MR09,0.36,0.44,0.46,0.66,0.05,0.17,0,0.23,0,1101.74,1.1,0.09531018,720
MR09,0.36,0.44,0.46,0.66,0.05,0.17,0,0.23,0,1101.74,0.15,-1.897119985,745
MR09,0.36,0.44,0.46,0.66,0.05,0.17,0,0.23,0,1101.74,0.03,-3.506557897,760
MR10,0.36,1.59,1.06,1.44,0.05,0.16,0,0.18,0,1139.53,1.15,0.139761942,700
MR10,0.36,1.59,1.06,1.44,0.05,0.16,0,0.18,0,1139.53,0.15,-1.897119985,730
MR10,0.36,1.59,1.06,1.44,0.05,0.16,0,0.18,0,1139.53,0.043,-3.146555163,735
MR12,0.63,2.28,1.09,0.35,0.08,0.1,0,0.17,0,1092.28,2.3,0.832909123,660
MR12,0.63,2.28,1.09,0.35,0.08,0.1,0,0.17,0,1092.28,1.1,0.09531018,675
MR12,0.63,2.28,1.09,0.35,0.08,0.1,0,0.17,0,1092.28,0.15,-1.897119985,700
MR12,0.63,2.28,1.09,0.35,0.08,0.1,0,0.17,0,1092.28,0.043,-3.146555163,715
MR15,0.45,0.33,0.59,0.21,0,0.07,0,0.31,0,1082.82,2.1,0.741937345,700
MR15,0.45,0.33,0.59,0.21,0,0.07,0,0.31,0,1082.82,1.1,0.09531018,710
MR15,0.45,0.33,0.59,0.21,0,0.07,0,0.31,0,1082.82,0.14,-1.966112856,735
MR15,0.45,0.33,0.59,0.21,0,0.07,0,0.31,0,1082.82,0.042,-3.170085661,740
MR16,0.29,0.45,0.72,1.15,0.3,0.21,0,0.27,0,1101.74,1,0,720
MR16,0.29,0.45,0.72,1.15,0.3,0.21,0,0.27,0,1101.74,0.15,-1.897119985,745
MR16,0.29,0.45,0.71,1.15,0.3,0.21,0,0.27,0,1101.74,0.03,-3.506557897,760
MR17,0.34,0.5,0.74,1.12,0.32,0.15,0,0.22,0,1092.28,2.4,0.875468737,705
MR17,0.34,0.5,0.74,1.12,0.32,0.15,0,0.22,0,1092.28,1,0,720
MR17,0.34,0.5,0.73,1.12,0.32,0.15,0,0.22,0,1092.28,0.16,-1.832581464,740
MR17,0.34,0.5,0.73,1.12,0.32,0.15,0,0.22,0,1092.28,0.03,-3.506557897,750
MR18,0.19,0.24,0.38,1.5,0.29,4.37,0,0.33,0,1101.74,0.15,-1.897119985,655
MR18,0.19,0.24,0.38,1.5,0.29,4.37,0,0.33,0,1101.74,0.07,-2.659260037,665
MR18,0.19,0.24,0.38,1.5,0.29,4.37,0,0.33,0,1101.74,0.014,-4.268697949,665
MR19,0.26,0.31,0.61,1.44,0.24,3.02,0,0.11,0,1082.82,0.045,-3.101092789,695
MR20,0.18,0.24,0.14,1.71,0.33,1.66,0,0.17,0,1111.19,1,0,690
MR20,0.18,0.24,0.14,1.71,0.33,1.66,0,0.17,0,1111.19,0.18,-1.714798428,710
MR20,0.18,0.24,0.13,1.71,0.33,1.66,0,0.17,0,1111.19,0.045,-3.101092789,720
MR21,0.19,0.24,0.19,0.89,0.06,0.2,0,0.27,0,1120.64,8.4,2.128231706,750
MR21,0.19,0.24,0.19,0.89,0.06,0.2,0,0.27,0,1120.64,1.2,0.182321557,780
MR21,0.19,0.24,0.18,0.89,0.06,0.2,0,0.27,0,1120.64,0.16,-1.832581464,790
MR22,0.21,0.35,1.18,1.42,0.28,0.2,0,0.28,0,1101.74,1.2,0.182321557,705
MR22,0.21,0.35,1.18,1.42,0.28,0.2,0,0.28,0,1101.74,0.15,-1.897119985,725
MR22,0.21,0.35,1.18,1.42,0.28,0.2,0,0.28,0,1101.74,0.03,-3.506557897,740
MR23,0.14,0.23,0.37,1.63,0.06,1.73,0,0.22,0,1082.82,1.1,0.09531018,690
